node_type,label,record_id,year,review_type,dominant_domain,dominant_loading,tsne_x,tsne_y,pca_x,pca_y,parent_domain
subdomain_anchor,Mental Health Comorbidity and Psychological Wellbeing,,,,,,7.980451,-5.2594514,-21.805035,-3.174838,psychological
subdomain_anchor,Social Support Network and Interpersonal Resources,,,,,,9.025538,-11.344887,-22.561415,-13.697916,social
subdomain_anchor,Work Disability Occupational Function and Productivity,,,,,,7.8339148,-11.185508,-20.811201,-16.709116,social
subdomain_anchor,Family Caregiver and Household Dynamics,,,,,,8.346159,-10.254445,-22.535631,-9.484071,social
subdomain_anchor,Socioeconomic Status and Health Inequity,,,,,,9.842725,-10.925842,-19.124557,-15.196921,social
subdomain_anchor,Healthcare Access Navigation and System Factors,,,,,,9.344963,-9.995932,-19.049728,-10.653796,social
subdomain_anchor,Cultural Ethnic and Demographic Context,,,,,,9.065491,-10.440797,-21.638618,-7.3647585,social
subdomain_anchor,Community Participation and Social Role Functioning,,,,,,8.547224,-11.147419,-21.72915,-13.601342,social
subdomain_anchor,Legal Compensation and Medicolegal Systems,,,,,,8.640357,-9.737147,-17.140938,-8.0451975,social
subdomain_anchor,Health Literacy Education and Patient Empowerment,,,,,,10.041469,-9.849692,-17.534517,-11.20491,social
subdomain_anchor,Stigma Social Isolation and Exclusion,,,,,,9.560567,-11.308214,-21.69299,-12.835872,social
subdomain_anchor,Return to Work Vocational Rehabilitation and Employment,,,,,,7.5329695,-11.222455,-18.946827,-18.645828,social
subdomain_anchor,Social Determinants of Pain and Environment,,,,,,9.289802,-10.806357,-20.405075,-8.448926,social
